Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]"
2034,198184.4580677407,709649.2711320582,709649.2711320582,139473.866946585,517662.41997304605,517662.41997304605,50836.272493735596,285489.37185580935,285489.37185580935,3796698601.51047,4007453159.117811,4007453159.117811,2844939936.9004035,2999457940.97493,2999457940.97493,1845088392.0969748,1938065548.8660932,1938065548.8660932,1808.39980395863,3047.1908739614705,3047.1908739614705,1350.6049737076355,2255.526132771176,2255.526132771176,858.7270984078941,1395.9165443826396,1395.9165443826396,1141968988194.2024,1097136410730.101,1097136410730.101,854712157349.2128,820091307803.448,820091307803.448,551644037311.8295,526892676678.6181,526892676678.6181
2035,137741.89576690772,719584.544425329,690437.0587615549,96980.6566583378,524302.204716384,499159.79988467484,38412.474097863495,291180.8766763087,283696.73275026697,3793499399.079078,4008978502.328323,3963868117.31984,2811979273.4702153,2969040243.528367,2935669891.6945763,1736010859.4427598,1825441331.7990775,1815914738.8787344,1792.558528337596,3105.4394841245457,2994.7780906599455,1325.1113909040162,2279.935544693506,2189.135534259631,805.2277287511376,1342.7272349888706,1316.137519327742,1138817039671.805,1079655780424.8738,1071385443403.2312,843264770775.324,798651995853.5815,793496140929.9233,518783905085.8916,488879051350.72675,487474413224.5074
2036,138981.698618532,794234.3368131829,750386.7282361309,96947.29182106623,572436.5756284762,535830.5479541871,74167.56958764256,362401.3519718294,336539.46479262796,3793177832.3139873,4021125668.2766037,3941276684.0969443,2780304968.4971685,2944198446.250598,2886907340.010031,1702430907.177936,1800914562.115065,1764257847.5991342,1799.221091841169,3206.8720273004196,3060.4802376959897,1315.1584036630186,2324.97786301439,2209.8393750714004,812.7835012048024,1417.79428219821,1333.7588408061717,1138682773349.6907,1067314065413.8568,1054407515812.0442,833665993656.4152,780457510123.0731,773376309009.8262,510677669995.2568,477781820636.5043,473172155884.8548
2037,140256.39338815308,869970.245232432,811038.8972678323,96908.79781723428,619921.9709633418,571934.4838683198,73852.8385536585,386930.9602505426,351502.25567607465,3794135416.529885,4032301240.0709095,3917787502.5086403,2748722965.7541237,2917545588.6136675,2836714642.2013593,1662996963.057994,1762984492.3870993,1705222156.935288,1806.478475393157,3300.949201311483,3119.8980467597376,1305.1394138553908,2362.1802944162646,2224.3304136724328,797.4485271763418,1421.6527481474848,1322.2629985923336,1138932408889.9192,1055018359950.2605,1037510285847.5137,824099992073.5782,762273291230.6781,753279570895.8254,498952716038.03894,461153613620.1019,455361453326.3945
2038,141127.3535958607,950680.1401442658,876275.3320092536,96417.66452958038,670482.1294166923,611199.5892699589,73081.04888559665,413974.72329980484,366867.5756779453,3801965869.3402586,4050201332.688622,3901088890.8019886,2722597311.83398,2896564274.716096,2792550997.075726,1628824333.4730647,1731151477.7391486,1651184370.802794,1818.5663981195892,3405.5818573984407,3190.96279821057,1299.1648406376576,2409.2461365302415,2250.26473572912,786.0478521320796,1437.2849127941304,1314.0630958961383,1142586164861.2725,1045946149936.1036,1023871871557.1232,817526560121.3177,747235846897.4974,736340583150.43,490166595109.37384,447762329879.75836,440308501179.18494
2039,144366.33220152848,1039609.1143463139,948460.1040128247,98252.91403496954,727486.0640044962,655948.5166356454,74635.92379428195,447069.6103581398,387277.6094482009,3830347439.3061104,4088024078.2499485,3903104184.4086595,2716000599.4825373,2895002508.6263323,2766800282.6370516,1614318857.1225083,1719589164.5651581,1616330376.6133325,1839.2398312447376,3522.2999592942965,3272.0773755370983,1301.180217055812,2468.7383746277474,2286.547876386785,782.6918772235629,1468.0089795608185,1318.6504149386838,1150859148033.2542,1040891324805.2373,1014050787569.7561,815280501905.3209,736295504125.6224,723295714733.1998,485761055659.20386,438677474672.66736,429348627738.7604
2040,146074.076982601,1126475.019623361,1018623.1289995934,98521.90685494382,780360.3328751473,697236.7489218116,74621.01088033718,475437.9118021479,404958.1945092783,3859851075.6045556,4123016207.321772,3902679067.450936,2709257995.446415,2889798076.075947,2738134347.013128,1599553239.1213427,1704883843.2146728,1579899696.4045758,1859.6115337735823,3619.651728713754,3337.1910496273536,1302.2123987506295,2508.4793602679974,2307.2926176269602,778.2750778192029,1480.8208226422846,1315.1505044554494,1159381584694.5686,1034950895322.3694,1003489317818.7826,812909432924.1256,724463522919.51,709498698101.2572,481197608983.6174,428804583079.24286,417991281120.19403
2041,147919.89155196823,1142029.3686075874,1017874.216493808,98856.00723782345,782326.1539284,689933.8000342523,74639.38408512212,473520.0281673203,407268.1080558502,3889549716.2225456,4126645861.14009,3871054764.500745,2701777736.5160823,2861818744.347497,2688310838.8590384,1584288763.1919444,1676741346.2961977,1539850152.6044624,1872.896019976691,3497.5550830197103,3184.656672875415,1297.8043541215209,2393.843656185809,2183.993863064015,770.6639304162076,1402.7552693837606,1287.5835685519307,1168310776036.203,1026290803373.4647,990269004747.6665,810563156308.5498,710713802655.1228,694296501061.5487,476631580333.53754,417870915394.15814,408648118568.36194
2042,149813.45606421714,1195939.0005840962,1055131.5510659278,99190.00867661469,810566.1529663462,706691.0248368301,74653.64342529916,486955.66395499307,409326.84857953654,3920671953.066524,4154318590.4020147,3863472404.0298166,2694410776.879172,2850015113.131031,2653495569.7001114,1569026423.3724492,1658171301.1974955,1499667297.878088,1886.8410999458956,3535.48375040992,3192.826939825517,1293.4536783732492,2391.6754772153563,2164.34820622398,763.0621611977268,1391.3968138083476,1259.3466662671508,1177667335129.876,1025410035582.5372,984837179168.1133,808250563762.382,702384727385.5782,684055950585.2406,472065958214.74976,410192144061.1413,399299620374.5537
2043,151756.22741711998,1250989.7138045006,1093304.0444239972,99523.97075527938,838670.3436614029,723409.5499728662,74663.78890086831,500060.3790568714,411132.6641355547,3953248891.047699,4182190719.1442995,3856167364.860791,2687157878.239145,2837496855.6035566,2618270079.537208,1553766219.6628563,1639153603.674818,1459363023.7327275,1901.4603857635846,3570.266847986494,3199.100266221532,1289.1606357706441,2386.4044968794833,2142.876391619304,755.4697701637608,1378.1536670145786,1230.4800506321233,1187460622797.3984,1024554965253.6187,979466864711.8163,805971885105.3009,693986799790.1376,673766826855.8701,467500742627.2539,402510563300.89545,389947182840.5164
