Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]"
2044,155259.48970268678,1308314.4934007518,1133521.1428272196,101247.15820760517,867720.9018860774,740035.1108958316,75472.51616130183,513913.41346381046,412650.3366508753,3988336986.555243,4210992086.6768913,3849867464.0982,2680964462.9830995,2825002611.099355,2582640901.043017,1539063591.5402353,1620431374.2711408,1418958361.246592,1923.8184237954042,3606.866692226252,3208.4545059992997,1291.4227152002643,2383.0899038838797,2119.599278913256,751.6918679952333,1368.1020053987793,1201.0675269046076,1198067041395.6746,1023995723423.2601,974428540223.2112,804070591417.2513,685798512778.8829,663480570818.0056,463164413720.6402,395106252658.84076,380649743160.98486
2045,155756.69106142072,1410437.0828010149,1218302.9808675302,100062.54882815838,937343.5716176666,787487.2515794617,74597.4516975761,566483.7455445213,413127.6614761574,4022915369.0130615,4268992918.393386,3872840835.16612,2672953346.728068,2838919479.400555,2567441503.8951902,1523226960.6279473,1627295976.41786,1378918667.2852972,1932.9901281004272,3840.5383967772673,3416.1606541354095,1280.5107880295986,2564.0117371001666,2238.281944945185,740.1766216510505,1535.9388493096233,1173.438103112555,1208384290730.1936,1034555679975.255,980545935488.402,801483997007.5944,687925914402.8384,661593755180.4352,458352418561.6953,397664858349.6196,373500769885.2824
2046,157841.35838413713,1679990.763533072,1468678.6819385653,100421.55896754381,1093286.5819619608,946787.8901423767,74606.57862941387,637218.3098674343,457525.73202297435,4059956499.1955757,4379513016.502272,3947211850.307787,2666007940.3181195,2871875947.6556644,2586097174.467244,1507951102.1926289,1625176368.2124922,1344460901.8257108,1948.9438879667573,4462.8497957761865,4006.8318343359488,1276.0336944193054,2898.652000773289,2613.798164432976,732.3955688848077,1654.9722183584283,1195.7133950603811,1219498645855.101,1032878259377.7284,974427220763.6611,799286094918.7101,676224510285.9985,650173915408.5328,453775144794.76416,384684913933.219,355168327797.65607
2047,255684.4844988093,1891689.3092316163,1628162.456664791,112722.97375278742,1193222.762773453,1034814.21835458,37628.0943677851,654296.8196471204,518921.0629954164,4049810554.346788,4353571069.712143,3839724423.8760285,2655675228.068205,2858506677.0999994,2546197608.350224,1497311967.4442623,1615250357.1889753,1356775997.5066385,1994.8591689611123,4503.494464565217,3907.6974615441136,1276.4294875110465,2947.479474173527,2642.1696108513893,706.8565207435238,1674.212962627565,1406.1968133292403,1221604942422.586,999835343944.277,928896523074.564,796716853925.2094,652555706990.7266,623597400241.2771,448668162987.6627,368133015224.24664,346774070074.93555
2048,224792.65652583982,2015314.6116527778,1728370.7649717557,119467.73487054139,1286684.2467558463,1116658.2026733758,37778.2948402594,704299.6764050038,585143.2061883502,4042475446.053273,4348645340.045341,3780552321.10356,2641742041.6953435,2839827097.7217684,2499360636.786371,1492511205.7287729,1607475252.9121675,1354127862.998807,1972.9453800713256,4618.271201694104,4006.542495904208,1272.1887810217684,2987.0974706243537,2664.483122924398,704.0200186019717,1694.8726466809198,1499.54983035368,1217805469271.3828,965650147309.7463,889159253708.5479,792770710983.5409,627809364616.6808,595866175660.4246,447247826872.2952,354372762294.99316,335270420175.1437
2049,213561.94118686745,2156836.4180435026,1844582.9058506193,106768.6166599958,1365097.2566265278,1190198.4028452802,37927.15918150646,753830.0594983312,635374.3022229568,4048421954.9190454,4350279345.783765,3730523079.8810363,2630573881.1030154,2823735331.467179,2462485445.8956904,1487711265.796501,1598336490.0359373,1340484811.9464073,1967.602862505348,4717.433272355341,4078.4901181389014,1258.7878997260718,3024.9321204670327,2708.185289525796,701.187672534518,1710.3573587711182,1520.2615310324811,1218999211124.5505,933787668619.3712,851669060571.3793,788654635662.8597,602809863927.158,569087284267.9312,445827696186.67395,340462361314.88245,320486307531.7903
2050,145808.21492454148,2161231.285990651,1799018.429565588,78470.8315168086,1393349.6012371506,1193703.392709651,30551.485839181605,791999.3076315651,670401.8922364156,3983408545.6804247,4246174156.0209336,3531970268.107084,2593241127.3657217,2765779690.3057885,2350989206.827543,1479666103.381255,1583343120.0138063,1313211231.3743136,1925.4232061732332,4531.520332033357,3790.191277492019,1237.1207093571788,2944.9789425513923,2569.7307040562146,695.4378487924325,1708.1689941967068,1511.5829241558463,1196863574170.695,875651434478.0417,782741109585.2488,776278730287.8734,568061292296.6295,528199763445.9362,443130068114.7669,325058707749.8291,303573004876.48224
2051,138814.10515705077,2178502.269180154,1787047.3239201128,74608.10675130776,1410311.8390448415,1196396.1587885395,30488.827313459078,814823.773893733,689160.0594330777,3931763385.7929144,4173293651.687217,3378908225.683827,2559632477.9550076,2721859766.698182,2261995144.9881186,1471883149.6343663,1573801309.476359,1290597539.4142141,1900.1789033517232,4402.009814303014,3630.761536917689,1220.9879491937584,2885.638943457438,2490.9873094009986,693.2103675953532,1712.4197848063427,1506.3657702392507,1181023173561.3174,844133224621.6234,744008566768.8647,765892865641.4193,548982452477.5903,505385019600.1351,440806763434.41064,318092997417.02356,295358898249.2349
2052,142231.8319145846,2217994.5884395624,1789042.792539827,70821.53787719696,1438648.2483063443,1214209.2089785107,30425.600282291347,830838.6237532465,703370.5521695164,3877262063.222558,4105451599.0820713,3223253323.467175,2531251611.7470665,2687998342.2503366,2188708099.0400343,1464099034.7893972,1559225775.9772887,1264213761.147108,1882.2840975822387,4338.440555046437,3508.0019150642447,1207.2029047035733,2866.607953611714,2464.048544668429,690.9683948480908,1683.1932589047574,1476.7606557617523,1164971785029.3223,813272984472.7086,704357959709.2628,757083635048.2146,530456405520.6834,483811135005.4311,438483213761.16754,307780019848.51624,284158316334.1635
2053,138798.10613664423,2263595.116519099,1801434.3034547372,73960.9123212614,1463667.3028603499,1223362.5212520508,30361.804745678608,846992.6138038918,717912.4960107389,3829177610.606431,4050144598.740349,3085441790.5179586,2499849633.304753,2646395865.4389052,2101195692.6864395,1456313758.8463478,1544410982.6626387,1237615197.7060864,1861.4362167477566,4317.159371248781,3445.649979072795,1197.8830577007636,2818.1169315623597,2389.328323951419,688.7119305506461,1653.0548445599723,1446.492481461171,1150414739763.4656,785522838140.8428,668935142661.7273,747786428247.8169,510892379829.0211,460032766023.1229,436159419095.0381,297596468041.7585,273049746390.39178
2054,133221.63425181824,2316542.5664225575,1824188.2985614913,74685.20648029134,1486567.7279846221,1231524.9525131169,30300.525949549465,863255.5262715186,732755.4684639337,3793706993.8829384,4009806265.4376526,2969037522.839035,2466229009.029713,2603427785.513028,2011823965.35145,1448529819.2132432,1529349775.4051394,1210790288.8224757,1844.429072859885,4319.524655594571,3416.916924911799,1185.4874959418862,2772.5262128340646,2323.345399045376,686.4680650422239,1621.9908823393198,1415.5299423547028,1139488984944.556,761040715358.3337,637687252988.6434,737675894458.0095,491370050687.2002,436438145065.0703,433836185330.5377,287534611083.852,262024790524.1909
2055,133909.87142321074,2357416.2274326403,1812321.256464667,74323.37954139443,1504224.3783977954,1219323.1753519706,30232.50815611774,879051.7116911104,742687.9115472066,3760541540.433751,3960084329.4188657,2829140546.9319644,2432335232.0281014,2557778626.5006123,1910440326.1081994,1440739723.6660075,1513708450.1458154,1180587276.4762652,1833.6570050207492,4249.144581211498,3221.940631746316,1171.8972103844708,2710.338965102976,2175.494359813384,684.1555273052081,1588.4353168532286,1362.650684856642,1129634950914.175,733974534632.2468,597420768716.9386,727418230474.4845,471179621214.8445,407219860649.13116,431511094784.1191,277457726288.402,249470168315.0524
2056,134673.37823548933,2405240.1187036284,1826029.1556260963,73983.60204222835,1524292.7831248017,1226757.9735783245,30177.635669609423,908156.100856682,762610.4609878766,3727877317.8766975,3913422778.5410104,2703493214.3641443,2398471224.3137345,2512947447.5042963,1820280579.5923247,1432943029.2762902,1505866868.2646122,1156186318.9640703,1819.926213406224,4222.958625529976,3150.1220069926676,1156.3034533772152,2669.526039859483,2120.111172200875,680.75869177675,1617.7520993332055,1357.2793582550544,1119892435109.0046,709570236244.6051,565697733140.4822,717142057309.5745,452433154153.5631,384671956164.39044,429166199129.0185,270885254989.22116,239046376364.42633
2057,136352.6417831831,2534008.266749154,1955656.7603333492,74050.7255613175,1580983.364357013,1292985.6218854152,30191.87990907717,933527.0741852005,795401.0505903256,3754694067.766759,3955417882.5916634,2708486852.9154477,2391475637.175045,2508461909.3870277,1798939161.2095866,1429812439.488883,1498423932.5441587,1146246525.8535216,1834.1973427604853,4447.543643258296,3432.8896044785624,1153.5098937404591,2744.1054839447097,2244.0991239361283,679.5515654001753,1623.311425072766,1388.699749375091,1127922825597.3489,704485633416.7577,560954577595.5299,715000943675.7004,442762018670.5468,375684606248.3995,428208331416.6146,263443143049.6813,232273065957.8292
2058,138075.06513724776,2624520.3630952043,2026124.8003221112,74118.85337741564,1620174.1850036818,1328130.2905782985,49550.59246817264,967164.6183693819,825462.4345178537,3782602352.3663964,3972727579.555483,2676864943.79024,2384555580.798673,2492833711.998253,1759155092.4852037,1425162626.2125986,1484917785.205759,1111376275.4614851,1848.9418755116271,4500.448599967416,3465.9813928918807,1150.701809533399,2743.2681783489893,2240.2113431163034,694.5498508853885,1612.3036838216954,1362.2032132420723,1136278754020.629,691793938896.9668,544692051900.02686,712881523641.8533,429963256221.0084,360913978215.8897,427977747651.5504,256530605372.57245,223648101785.6785
2059,139873.0379725472,2718734.9323150367,2098802.4652619725,74188.05924009591,1660939.6051611826,1364136.8622820866,49456.365614812996,988179.8449836529,845364.3418363188,3811649609.4570203,3991198118.6424866,2645102362.739095,2377714036.2192955,2477847850.5147896,1719590883.4753888,1414883525.2028136,1469985407.5022545,1076316462.6866422,1864.3775011461066,4559.594680534703,3499.865178728083,1147.9284019290435,2748.1378334036463,2239.3149757460783,689.958367384035,1611.343091676042,1356.8729473689014,1144975750609.964,679372176439.618,528411829409.9756,710785761060.9822,417606961605.234,346359329282.9944,424882182307.9579,248267996681.02545,213996293436.02332
2060,141378.18099813035,2812489.6158997733,2171242.9006011984,73947.57061925386,1698771.3172608446,1398162.3256373457,49048.92948518076,1005768.4747413234,864331.9573229582,3842061807.3389883,4008393308.9973984,2612153611.603776,2371124483.5210814,2460872376.8303995,1678988837.8925445,1404660511.262851,1453006060.0109105,1041013780.7656559,1880.0809149675297,4606.808760813062,3524.9064775200136,1144.9827407010384,2739.507774582511,2228.7758950178822,685.1078280627727,1596.5939662683843,1347.0687838750362,1154048478348.1545,666199472837.6783,511583796725.0326,708735706663.3334,404623930949.89075,331444316962.23083,421778670362.87256,239354989029.61075,204194726387.3908
2061,144085.72479378092,2702247.535543221,2054850.2103394615,74862.76722514619,1607894.0556386705,1328304.063603685,49796.61733502257,947649.313974999,844099.0993067862,3873331261.0199175,3945452261.854097,2506259933.6925807,2364448287.4044476,2392462076.549945,1603832875.754472,1394487443.3835864,1405881587.4605176,1000163725.7480727,1897.1893626349893,4032.8548068594055,2986.3619790172934,1142.9731944194173,2337.2239497256874,1939.1630021001486,681.2693949839957,1350.4693320368972,1272.7963302541025,1163384742951.1785,642602197786.9166,486239276133.62085,706687249993.3768,384673157435.68335,315358071925.80005,418735831598.27704,226494202060.3744,199209177470.85883
2062,145999.3091020817,2730336.7395683117,2061034.391670303,74936.780526441,1605684.0397634797,1318448.7741909844,49701.06652809874,941891.4012530042,835102.2222450257,3905551466.104259,3968951930.785304,2476614946.4499764,2357609318.9088073,2379365436.5388117,1566391651.366151,1384070071.4363222,1391538829.3527431,966579268.8909323,1914.04771578291,4045.8541392941515,2970.285850014843,1140.1524141793977,2314.033184784082,1908.274020773443,676.5799880414585,1329.3288651269331,1248.9369213154441,1172953828369.3137,647045197483.7169,485987054495.41235,704539266904.4084,382847403935.02246,311914487478.17236,415569395167.4468,224355903241.45358,196380569144.07538
2063,147962.08588714796,2759620.37947645,2067836.1948968114,75011.93218228836,1603634.5468466987,1308656.8988952702,49604.57553316533,936171.4068917697,826147.5610487262,3938991929.613037,3993623693.314066,2447247381.8769045,2350851476.372854,2366420797.8122873,1529074173.6920757,1373651713.9068367,1377265976.7294686,933088775.805394,1931.5155145081872,4060.3216179299784,2955.1019035385184,1137.3677138076955,2291.2082176118856,1877.772972774049,671.8866059463777,1308.4247067876927,1225.3888864207902,1182887421222.6538,651735592169.4482,485879735549.99756,702415850238.299,381068875381.7379,308505823870.095,412403288505.03375,222239101832.38055,193578448913.8339
2064,151676.72704589713,2791336.355057908,2075244.4987465634,76458.97699343483,1602956.311718362,1298930.8202188269,50309.51234949898,931696.1067380043,817235.7432879574,3974773908.5255575,4020255009.498059,2418167370.3170347,2345059567.563005,2354401702.873178,1491880050.8521373,1363749820.058256,1363836036.224811,899691183.4259979,1957.0470257782738,4081.5006607228106,2940.827772180462,1140.6271284956863,2274.036946887166,1847.6666258553605,670.7052070429385,1293.035274810844,1202.1495050402586,1193575495566.5928,656964209927.5941,485978856399.6482,700633052192.901,379624348919.4548,305132363202.6493,409421992806.66034,220429903488.44922,190802740607.55185
2065,152131.85025215527,2872393.6939916457,2086852.2810160671,75149.00310530864,1647407.4320009227,1288568.9441589727,49399.02248320214,970414.2159386267,808376.8583998441,4009710504.74461,4078783216.949179,2392645780.49274,2337578464.6593585,2371241384.4409065,1455134479.933098,1352810268.968537,1378032780.1158323,866393095.0762508,1968.799107994155,4313.462900145458,2947.6901724522977,1131.8864712255618,2453.1159244758205,1818.5445576266804,662.4754794578866,1465.9715710475602,1179.2988860839798,1203900581001.5989,673815917214.8486,489421431587.26807,698239479339.3517,388856472910.7028,303489776780.9118,406069790565.83514,228843784823.39377,188055774455.04932
2066,154204.55244964155,3015036.155419556,2244206.5632999837,75226.9323394121,1707621.198146625,1277725.528809951,49299.34253546336,985685.3584411263,799620.4362429462,4046949680.367346,4176953420.6837544,2457878403.3521852,2331068427.447398,2398276026.4777594,1419144367.78422,1342389449.667602,1377524719.7805667,833170113.4188741,1987.9770645189324,4809.83476680576,3576.792246706176,1129.204171222371,2701.5294282905884,1793.7394446455928,657.765532521457,1538.7170838488187,1156.8228914144277,1214973364063.811,705075277416.0425,522663213160.5983,696194887870.6781,401748186148.12,303931707272.3154,402906969676.1891,231682428856.49533,185351245879.20514
2067,156319.14835172181,3022096.7667985368,2205679.662824977,75306.15930255853,1701454.4726732676,1311639.3055559227,49198.729695696464,981686.0949615368,775210.0127054114,4085512608.4732666,4189812843.2223845,2400682871.3408303,2324641752.519679,2383388641.441617,1409256787.121011,1331967636.7638838,1364836328.8299093,790839700.0615538,2007.7670119027587,4716.706204380742,3366.1277568919113,1126.5587039754532,2663.0567418385367,1950.1593327495934,653.0516794303708,1527.8975018349568,1071.073175837031,1226441143393.3303,704279811087.0242,510367806393.9088,694175099436.1433,398963026943.233,308021516925.04156,399744444327.42175,229974139268.49216,183215272605.93292
2068,158565.98346662178,3066162.611513324,2232421.4952542395,75386.63806896316,1697375.2220695794,1330134.46204523,49097.183963901356,974159.9303770484,766268.000417145,4125485564.4775505,4226163451.7679796,2383119255.3256006,2318299222.656773,2369688080.595185,1389866558.410518,1321544830.2573833,1349868466.3376288,757985842.5997496,2028.5712521495373,4776.936860466801,3427.497059381701,1123.951280196253,2632.0720648185807,2040.8900950323844,648.3339201846283,1501.3131687409295,1050.0349818832606,1238332384221.5999,712141799646.2688,515245118591.39575,692180913459.07,396680296789.3818,309504848566.0713,396582214519.5326,227449092760.22223,181263462215.64386
2069,212203.71314180616,3093471.151131458,2228010.011368044,81884.24862896337,1697169.6635812065,1322831.8238323624,29107.853865596135,958122.7071293809,733514.3772964522,4139137214.4012666,4210853444.1976137,2287581255.5687313,2309516655.0946226,2353631205.9976473,1346186557.4275818,1312613914.7865345,1340276562.2653208,732915396.7507117,2081.9796280173314,4674.701465412873,3274.5526432191787,1125.857812120997,2603.7086141548466,2012.0300204970833,626.9853746186758,1488.4630776795218,973.3570454019723,1245549914920.911,713409040325.3577,509977157613.8259,689880293877.0265,394940583321.6158,306673782855.4044,392670861752.08545,224361850562.46768,175331919722.66608
2070,196548.48220295567,3064227.674397365,2157607.3057827726,85371.06313531222,1674078.05340777,1279227.1327513135,29116.728312738796,954054.8009910317,773700.8268285885,4148475103.423255,4191353075.2803307,2188111232.2810874,2297673475.474157,2322790292.1002293,1278270476.9029455,1309442211.6656325,1331390933.9588785,746014793.620642,2073.035922066945,4521.283917482798,3041.4683564196375,1123.732256171151,2489.826470539,1845.0453380806853,625.7104291282016,1460.7679610043606,1137.2895437069706,1247262094134.1606,704972240527.5109,491880702335.58716,686485280032.9833,388053283815.6025,294596959870.0888,391692637977.4208,222669012143.87833,181313169339.88956
