Year,"AAF use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","AAF use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","AAF use [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","AAF use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","AAF use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","AAF use [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","H2 production [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","H2 production [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","H2 production [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2034,0.3508849272791016,0.3508849272791016,0.0010200143234857604,0.17088388984832367,0.17088388984832367,0.000496755493745127,0.2654258696719125,0.2654258696719125,0.0007715868304416063,1.6891437196924195,1.6891437196924195,2.0390086326480352,0.8226270976419304,0.8226270976419304,0.9930142319965091,1.2777477912112998,1.2777477912112998,1.542402074052771,0.5634861047175093,0.5634861047175093,0.002369493273457422,0.274422438707423,0.274422438707423,0.0011539630119699299,0.42624740410612433,0.42624740410612433,0.0017923962071158517
2035,0.4058791972051236,0.40560691589029213,0.001014697993012809,0.19473846394738087,0.19548148615859057,0.000486846159868452,0.3048562385607757,0.3054758570348174,0.0007621405964019394,1.6235167888204944,1.622427663561168,2.0283812880326053,0.7789538557895235,0.7819259446343623,0.9732054735770358,1.2194249542431028,1.2219034281392698,1.523519052207477,0.6518014027917081,0.636214057705031,0.0023571434377687548,0.3127304992530989,0.3008681203805633,0.001130943629374414,0.4895686335047498,0.47665215608669725,0.001770452605441705
2036,0.460380799204769,0.45975809086024916,0.001009607015799932,0.21748319265225036,0.2191772832938086,0.0004769368259917771,0.3432384188436851,0.34465168198493135,0.0007527158307975553,1.558833232395095,1.5567247637899668,2.018204424584064,0.736390459331304,0.7421265908018432,0.9533967151575626,1.162193242751425,1.1669785021595045,1.504678945764313,0.7393255254429385,0.7079322664967599,0.0023453170977032417,0.3492562590802488,0.32586560275849247,0.0011079242467788982,0.551206576821074,0.5256425930655817,0.0017485588749427208
2037,0.514429669481375,0.5133776472926018,0.0010047454482058106,0.2391180759629323,0.24197128125397777,0.00046702749211510215,0.38057608316880137,0.38295721713723774,0.0007433126624390652,1.4950612269302461,1.4920037874441243,2.008486150963415,0.6949369082672721,0.7032290361443729,0.9335879567380895,1.106049241709329,1.1129694123050973,1.4858820122156915,0.8261226062201402,0.7787019991673659,0.0023340236761820975,0.38399971818887296,0.34941488584121083,0.0010849048641833822,0.6111671319607782,0.5732248710896813,0.0017267153148459486
2038,0.5698373918381617,0.5682764102598343,0.0010032348447854959,0.2610838725039092,0.26530423866358055,0.00045965470511251616,0.41844612357284755,0.4219695560901918,0.0007367009217831823,1.4366322977328303,1.4326968653029626,2.0054664547262067,0.6582255377211231,0.6688656157856467,0.9188497555199199,1.054955719993517,1.0638387400020326,1.4726651426445814,0.915101867552904,0.8514295542023432,0.002330514544436707,0.4192745908540278,0.3738296839037746,0.0010677778799763748,0.6719826298456358,0.6219315814053449,0.0017113562413023317
2039,0.6277619399760266,0.6255975873917462,0.001006028749961581,0.28442433828857766,0.29027786726848814,0.0004558082344368232,0.4579258148819823,0.46280842877634687,0.0007338554725672793,1.3842955599471352,1.3795228850176966,2.0110514711732006,0.6271921305850685,0.6400999124382043,0.9111606606392094,1.0097851302525762,1.0205519198657902,1.4669770896619914,1.008122899407501,0.9274501085812248,0.002337004786160752,0.4567570448576268,0.40022645592680245,0.00105884252859674,0.7353830661189754,0.6729527382896221,0.0017047462627737893
2040,0.6861639804959326,0.6833125285163055,0.001009064677199901,0.3073339993575685,0.3150391396878136,0.0004519617637611301,0.49710176794570765,0.5035259825759947,0.0007310320116848642,1.3319653739038688,1.3264302024140049,2.017120289722602,0.5965895281646917,0.611546565276344,0.9034715657584992,0.9649622554240205,0.9774327897063427,1.4613329913580433,1.1019107362784182,1.004003049499594,0.00234405724513537,0.4935476695683192,0.4262822051514039,0.0010499071772171052,0.7982957291440119,0.7237683173725163,0.0016981873631439393
2041,0.7207910518230742,0.7172861023958512,0.0010123469828975762,0.3190580886768312,0.3285145323588977,0.00044811529308543707,0.5185002377989478,0.5263829689052149,0.0007282306710659379,1.3039029139720777,1.297562499839686,2.0236816188122546,0.5771724974940428,0.5942790978627249,0.8957824708777887,0.9379611043329279,0.9522208763341524,1.45573311146081,1.157518350122675,1.0423279704398771,0.002351682041271069,0.5123753846061233,0.43421396008830476,0.0010409718258374702,0.8326595318813304,0.745890794842301,0.001691679848886173
2042,0.7558147957889547,0.7516062063841495,0.0010158801018668748,0.3305360038728496,0.34186857863822073,0.0004442688224097441,0.5397359780734685,0.5491820552361956,0.0007254515834320813,1.2759454079447945,1.2688405849710913,2.0307443236318825,0.5580016409466384,0.5771329768408672,0.8880933759970784,0.9111671887906941,0.9271137921729322,1.450177715280731,1.2137629805574823,1.0811057941127398,0.00235988947663675,0.5308077686194091,0.4419508448546763,0.0010320364744578355,0.8667620071881831,0.7679094094946892,0.001685224028312725
2043,0.7912627938274281,0.7862999100839116,0.0010196685487466857,0.3417677449456235,0.35510127852578255,0.000440422351734051,0.5608112286657354,0.5719256034223554,0.0007226948823012054,1.2480743036659434,1.24024624992617,2.038317428944625,0.5390769585224784,0.5601082022107705,0.8804042811163679,0.8845785359366751,0.90210945694454,1.4446670697201096,1.2706889206074667,1.1203781269737332,0.002368690038738551,0.5488448216081768,0.44949285945051853,0.0010231011230782004,0.9006067521143044,0.7898278889428239,0.0016788202115857003
