Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 3 (H2)","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 3","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 2 (H2)","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 2","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 1","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 0","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 3","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 2","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 1","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 0","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 3 (H2)","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 3","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 2 (H2)","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 2","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 1","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 0","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 3","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 2","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 1","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 0","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 3 (H2)","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 3","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 2 (H2)","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 2","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 1","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 0","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 3","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 2","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 1","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 0"
2034,0.0,0.0,0.0,0.0,3808.172527631519,611.9715710009577,0.0,0.0,0.0,0.0,3808.172527631519,611.9715710009577,0.0,0.0,0.0,0.0,2776.9636964670894,552.9216825710408,0.0,0.0,0.0,0.0,2776.9636964670894,552.9216825710408,0.0,0.0,0.0,0.0,1610.3616117610834,509.9763091674648,0.0,0.0,0.0,0.0,1610.3616117610834,509.9763091674648
2035,0.0,0.0,0.0,232.6106713717512,3808.172527631521,452.8031853548051,0.0,0.0,119.48103716596704,113.1296342057842,3808.172527631521,452.8031853548051,0.0,0.0,0.0,158.51433184218513,2776.9636964670894,409.11164992583275,0.0,0.0,81.33691294757189,77.17741889461324,2776.9636964670894,409.11164992583275,0.0,0.0,0.0,127.89249474035307,1610.3616117610834,377.33598779567103,0.0,0.0,65.58457931783823,62.30791542251483,1610.3616117610834,377.33598779567103
2036,0.0,0.0,0.0,466.64585694180346,3808.1725276315206,293.63479970865257,0.0,0.0,239.69610608765686,226.94975085414666,3808.1725276315206,293.63479970865257,0.0,0.0,0.0,317.14777534121777,2776.9636964670894,265.3016172806247,0.0,0.0,162.73520242526686,154.4125729159509,2776.9636964670894,265.3016172806247,0.0,0.0,0.0,255.7849894807061,1610.3616117610834,244.69566642387716,0.0,0.0,131.16915863567647,124.61583084502962,1610.3616117610834,244.69566642387716
2037,0.0,0.0,0.0,702.1311979657236,3808.172527631521,134.46641406249998,0.0,0.0,360.658419336671,341.47277862905264,3808.172527631521,134.46641406249998,0.0,0.0,0.0,475.9010451670388,2776.9636964670894,121.49158463541667,0.0,0.0,244.19523669226572,231.70580847477305,2776.9636964670894,121.49158463541667,0.0,0.0,0.0,383.6774842210591,1610.3616117610836,112.05534505208333,0.0,0.0,196.75373795351476,186.9237462675444,1610.3616117610836,112.05534505208333
2038,0.0,0.0,0.0,938.3870266250078,3783.4705560478683,0.0,0.0,0.0,482.3814273109025,456.00559931410515,3783.4705560478683,0.0,0.0,0.0,0.0,634.137190334472,2754.6452484572983,0.0,0.0,0.0,325.717386217304,308.41980411716816,2754.6452484572983,0.0,0.0,0.0,0.0,510.9818367808491,1589.7766354413732,0.0,0.0,0.0,262.338317271353,248.6435195094961,1589.7766354413732,0.0
2039,0.0,0.0,0.0,1182.5488487592722,3624.3021704017146,0.0,0.0,0.0,608.8138972744752,573.7349514847972,3624.3021704017146,0.0,0.0,0.0,0.0,798.2799176124313,2610.8352158120906,0.0,0.0,0.0,410.8573982549502,387.4225193574812,2610.8352158120906,0.0,0.0,0.0,0.0,643.6221581526429,1457.1363140695794,0.0,0.0,0.0,331.2021255550831,312.4200325975598,1457.1363140695794,0.0
2040,0.0,0.0,0.0,1428.2405527503224,3465.133784755563,0.0,0.0,0.0,736.0346934384636,692.2058593118591,3465.133784755563,0.0,0.0,0.0,0.0,962.5446410581864,2467.025183166882,0.0,0.0,0.0,496.0602731698816,466.4843678883048,2467.025183166882,0.0,0.0,0.0,0.0,776.2624795244367,1324.4959926977854,0.0,0.0,0.0,400.0659338388133,376.19654568562345,1324.4959926977854,0.0
2041,0.0,0.0,0.0,1675.4896764715816,3305.965399109409,0.0,0.0,0.0,864.0580056744755,811.4316707971063,3305.965399109409,0.0,0.0,0.0,0.0,1126.9320926487453,2323.2151505216743,0.0,0.0,0.0,581.3263881393623,545.605704509383,2323.2151505216743,0.0,0.0,0.0,0.0,908.9028008962305,1191.8556713259916,0.0,0.0,0.0,468.9297421225434,439.9730587736872,1191.8556713259916,0.0
2042,0.0,0.0,0.0,1924.324253478192,3146.797013463256,0.0,0.0,0.0,992.8982792718066,931.4259742063855,3146.797013463256,0.0,0.0,0.0,0.0,1291.4430087529756,2179.405117876466,0.0,0.0,0.0,666.656122603719,624.7868861492566,2179.405117876466,0.0,0.0,0.0,0.0,1041.5431222680245,1059.2153499541976,0.0,0.0,0.0,537.7935504062737,503.74957186175084,1059.2153499541976,0.0
2043,0.0,0.0,0.0,2174.7728219292903,2987.628627817104,0.0,0.0,0.0,1122.5702195349609,1052.2026023943295,2987.628627817104,0.0,0.0,0.0,0.0,1456.0781301579605,2035.5950852312583,0.0,0.0,0.0,752.0498582799216,704.0282718780389,2035.5950852312583,0.0,0.0,0.0,0.0,1174.1834436398185,926.5750285824038,0.0,0.0,0.0,606.6573586900038,567.5260849498145,926.5750285824038,0.0
2044,0.0,0.0,0.0,2426.8644336708785,2828.4602421709515,0.0,0.0,0.0,1253.0887964639237,1173.7756372069543,2828.4602421709515,0.0,0.0,0.0,0.0,1620.838202095503,1891.78505258605,0.0,0.0,0.0,837.5079791752407,783.3302229202627,1891.78505258605,0.0,0.0,0.0,0.0,1306.823765011612,793.9347072106099,0.0,0.0,0.0,675.5211669737339,631.3025980378783,793.9347072106099,0.0
2045,0.0,0.0,0.0,2680.6286634821845,2669.2918565247987,0.0,0.0,0.0,1384.4692495186794,1296.1594139635047,2669.2918565247987,0.0,0.0,0.0,0.0,1785.7239742688012,1747.975019940842,0.0,0.0,0.0,923.0308716009914,862.6931026678096,1747.975019940842,0.0,0.0,0.0,0.0,1439.4640863834059,661.294385838816,0.0,0.0,0.0,744.384975257464,695.079111125942,661.294385838816,0.0
2046,0.0,0.0,0.0,2936.095618488463,2510.1234708786465,0.0,0.0,0.0,1516.7270924694924,1419.368526018971,2510.1234708786465,0.0,0.0,0.0,0.0,1950.7362008792668,1604.1649872956339,0.0,0.0,0.0,1008.6189241863561,942.1172766929108,1604.1649872956339,0.0,0.0,0.0,0.0,1572.1044077551999,528.6540644670222,0.0,0.0,0.0,813.2487835411943,758.8556242140056,528.6540644670222,0.0
2047,0.0,0.0,0.0,3307.641897055337,2236.609135920381,0.0,0.0,0.0,1707.799657332035,1599.8422397233014,2236.609135920381,0.0,0.0,0.0,0.0,2140.738832360054,1435.4917629438962,0.0,0.0,0.0,1106.1813067684263,1034.5575255916276,1435.4917629438962,0.0,0.0,0.0,0.0,1609.964396543172,490.79407567905037,0.0,0.0,0.0,832.4409025415721,777.5234940015997,490.79407567905037,0.0
2048,0.0,0.0,0.0,3680.9527506071636,1963.0948009621166,0.0,0.0,0.0,1899.7814824012175,1781.171268205946,1963.0948009621166,0.0,0.0,0.0,0.0,2330.869440283616,1266.8185385921581,0.0,0.0,0.0,1203.809633777792,1127.0598065058239,1266.8185385921581,0.0,0.0,0.0,0.0,1677.8352206486038,422.9232515736181,0.0,0.0,0.0,867.0971749811033,810.7380456675007,422.9232515736181,0.0
2049,0.0,0.0,0.0,4056.0599414936764,1689.5804660038514,0.0,0.0,0.0,2092.6889343607627,1963.3710071329137,1689.5804660038514,0.0,0.0,0.0,0.0,2521.1287925086085,1098.1453142404205,0.0,0.0,0.0,1301.5043008810164,1219.624491627592,1098.1453142404205,0.0,0.0,0.0,0.0,1715.695209436576,385.0632627856458,0.0,0.0,0.0,886.2892939814813,829.4059154550949,385.0632627856458,0.0
2050,0.0,406.9466976106808,0.0,4056.0599414936764,1386.055295728126,0.0,292.1445314795935,114.80216613108729,2092.6889343607627,1963.3710071329137,1386.055295728126,0.0,0.0,190.38886899223166,0.0,2521.1287925086085,929.4720898886827,0.0,136.6117499076496,53.777119084582075,1301.5043008810164,1219.624491627592,929.4720898886827,0.0,0.0,37.85998878797195,0.0,1715.695209436576,347.2032739976739,0.0,27.065181358654446,10.7948074293175,886.2892939814813,829.4059154550949,347.2032739976739,0.0
2051,0.0,755.7333120784702,0.0,4056.0599414936764,1142.5517960873217,0.0,542.51423626297,213.21907581550016,2092.6889343607627,1963.3710071329137,1142.5517960873217,0.0,0.0,350.8971965348462,0.0,2521.1287925086085,790.8097008544049,0.0,251.76110889023659,99.13608764460966,1301.5043008810164,1219.6244916275919,790.8097008544049,0.0,0.0,105.73081289340442,0.0,1715.6952094365765,279.3324498922414,0.0,75.68634023053659,30.044472662867822,886.2892939814814,829.4059154550949,279.3324498922414,0.0
2052,0.0,1088.768651446478,0.0,4056.0599414936764,916.6946676131838,0.0,781.5702229087508,307.1984285377273,2092.6889343607627,1963.3710071329137,916.6946676131838,0.0,0.0,530.8035559823207,0.0,2521.1287925086085,632.8803555463181,0.0,380.84355354400964,149.96000243831108,1301.5043008810164,1219.624491627592,632.8803555463181,0.0,0.0,143.59080168137663,0.0,1715.6952094365765,241.4724611042692,0.0,102.75152158919128,40.839280092185334,886.2892939814815,829.4059154550949,241.4724611042692,0.0
2053,0.0,1425.0361490367188,0.0,4056.0599414936764,689.5345887129029,0.0,1022.9477820539516,402.08836698276707,2092.6889343607627,1963.3710071329133,689.5345887129029,0.0,0.0,710.9573792522741,0.0,2521.1287925086085,474.83540850058824,0.0,510.1037448195034,200.85363443277083,1301.5043008810164,1219.624491627592,474.83540850058824,0.0,0.0,211.46162578680912,0.0,1715.6952094365765,173.60163699883674,0.0,151.37268046107343,60.088945325735665,886.2892939814815,829.405915455095,173.60163699883674,0.0
