Year,Target CO2 emissions [kg],Target CO2 dT [K],"CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Temperature change [K] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Temperature change [K] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Temperature change [K] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Temperature change [K] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Temperature change [K] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Temperature change [K] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2034,127500000000.0,0.0006311249999999999,172477392952.59842,172477392952.59842,180916855071.49762,82360311004.57425,82360311004.57425,87727125752.75502,128702784744.63197,128702784744.63197,135472352742.8946,0.009735849760100869,0.009735849760100869,0.01019145836116719,0.004531455209180005,0.004531455209180005,0.004747405145158854,0.0072012490525447635,0.0072012490525447635,0.007539821378822097,0.0008181997739544866,0.0008181997739544866,0.0008137199588770089,0.000561878197198848,0.000561878197198848,0.0005593815755323949,0.0006855150267691186,0.0006855150267691186,0.0006819337183857896
2035,127500000000.0,0.0006884999999999998,166307891163.70453,164482849460.72916,180662933456.3919,74700225662.0245,74356308412.68817,82502952288.9571,122831889232.0321,121597600048.23788,133817825270.07672,0.009663878278589109,0.009588888680205843,0.010233046558653019,0.004183179285417548,0.004173180991120019,0.0044356846761823155,0.007046620130721097,0.007004328410642746,0.007463536802356776,0.0008930383249781536,0.0008922170562118147,0.0008950182789323852,0.000595493298746759,0.0005953385359845576,0.0005965079040624255,0.0007407893769235331,0.0007402339467908257,0.0007421517397573241
2036,119000000000.0,0.0007420499999999997,162179627966.1542,159905361053.19913,180549052538.7903,72157962690.34282,71233810532.33446,80873136277.61452,118352420369.96431,117070821748.68773,132225797735.26086,0.009585058311104861,0.00944155477607227,0.010279109210293014,0.004039889417917645,0.003999169268381854,0.004341035691509412,0.0068871028777969575,0.006807512585844276,0.007388225239776448,0.0009660191575629229,0.0009641744686857543,0.0009762653525748409,0.0006279643819574132,0.0006273937507241082,0.0006329008153873521,0.0007940479660900171,0.0007929158165777352,0.0008016533487381915
2037,110500000000.0,0.0007917749999999998,157878018491.72757,155199818684.99927,180496041043.69586,68509143323.38742,67740595985.27286,78968000132.73598,113779798330.26895,112476731902.71085,130640333467.42932,0.009499295448778962,0.009293654986810574,0.010329719308872,0.003894807411644249,0.003827465841152935,0.004247174852656755,0.0067228817352560765,0.006610785584715286,0.007313887673631064,0.0010370642658842004,0.001034014387094004,0.001057488571044504,0.0006587934964529376,0.0006578770189174809,0.0006684364154470833,0.0008452488753386382,0.0008435303459339551,0.0008604414987985347
2038,102000000000.0,0.0008376749999999999,153988732578.18225,150952677064.5418,180990157468.02234,65426101090.963326,64641004576.60402,77537604821.23024,109698233144.04227,108398269394.88458,129537840158.72856,0.009410749494810517,0.009148625263869834,0.010388278262084254,0.0037519524244686684,0.0036609491740033453,0.004157045164233494,0.006558103763020183,0.006417374635907083,0.007243580347503007,0.0011063591955443822,0.001101943091773048,0.0011389341419051143,0.0006882352419438712,0.0006869654709769526,0.0007033283376166368,0.0008946130802534572,0.0008923095671616532,0.0009187335268699625
2039,93500000000.0,0.0008797499999999998,150531235762.39844,147134184134.32986,182200285737.26425,62988228029.61918,62157793439.25481,76787112402.8966,106163805166.54726,104842663267.06691,129106463422.9387,0.009347684259724333,0.009032447925991515,0.010485700483834659,0.003640755297773084,0.0035270056707643414,0.004102449652718358,0.006421811745914201,0.006254298454625036,0.007208688057514465,0.0011740982516374615,0.0011681534746334965,0.001220924270486883,0.0007165799445571999,0.0007149364780246173,0.0007378825381979404,0.0009423867925784035,0.0009394887656318333,0.000976831435410285
2040,85000000000.0,0.0009179999999999998,146584766282.37888,142914755249.98856,183460405964.65158,60239267722.486374,59533278650.165726,76024368983.92708,102242521549.14818,100970011154.70656,128667745605.75697,0.009276944930973037,0.008913957993863617,0.010587389135273934,0.003527617553022753,0.00339381731320136,0.004048134025407994,0.006280774744033695,0.006089992410101039,0.007174264165109583,0.001240061396464532,0.0012324651144959913,0.0013034814531709762,0.0007436876150323187,0.0007417264534171919,0.0007720935042407075,0.0009883959272755202,0.0009849252706514513,0.0010347319209328754
2041,76500000000.0,0.0009524249999999997,141898253487.9391,137927516708.31528,184810244990.55273,57251135171.37937,57875743487.574745,75273305730.2712,97858209867.42502,96787027433.8439,128251608038.15135,0.009259894375683999,0.008847175988226123,0.010693434976242339,0.0034365147727094506,0.003281746264128662,0.003994103836886958,0.006176346442859753,0.005961026625704051,0.007140317239716289,0.0013039156105341045,0.0012945324970147331,0.001386646063416725,0.0007694506258594394,0.0007677705379866004,0.0008059664918193296,0.0010324321217158616,0.001028479432996681,0.0010924451445500436
2042,68000000000.0,0.0009830249999999998,140246376495.9079,135981060184.71529,186226840769.54364,55559961732.09302,56223412400.53825,74522774722.93187,95635028228.65466,94578432514.79132,127841052409.86737,0.009241041752309753,0.008781962418999853,0.010803918882083433,0.003345027495637046,0.0031705818821340954,0.003940359331380992,0.006070303035203633,0.005832656513658072,0.007106847735869174,0.001367026479957263,0.0013557239740978548,0.0014704481417630198,0.0007944526086388812,0.0007930710735668427,0.0008395017404446489,0.0010754678844187562,0.0010710397276283371,0.0011499736181344838
2043,59500000000.0,0.0010097999999999997,138555955050.95093,134012851329.14267,187711608896.97656,53874164066.320526,54576673886.872215,73772775961.90913,93397123526.52402,92358554578.939,127436109993.30193,0.00922035317878437,0.008718220551786074,0.01091892348305327,0.0032532032997589205,0.003060288862404994,0.0038869007531158353,0.005962694050759428,0.005704864556887361,0.007073856107704933,0.001429376659730191,0.001416029757195969,0.0015549183657666593,0.0008186959824687254,0.0008176305768159353,0.000872699489627508,0.001117496590005692,0.0011126010771888599,0.0012073198676314698
