Year,Target CO2 emissions [kg],Target CO2 RF [mW/m^2],"CO2 RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2034,127500000000.0,1.924120849671762,2.4689890230762606,2.4689890230762606,2.4615397963544945,1.5353305638923607,1.5353305638923607,1.532051389849923,2.001562679765965,2.001562679765965,1.9959352247557787,163678537255.51944,163678537255.51944,171853964060.82974,78741688477.57146,78741688477.57146,83562801846.99387,123428020016.51,123428020016.51,129949210647.62006,12.879070775437102,12.879070775437102,13.618469437183961,6.59861367236816,6.59861367236816,6.9526587686782575,9.871740703143816,9.871740703143816,10.428363009908614
2035,127500000000.0,2.072132248028617,2.647082489635972,2.644152825860737,2.6624540172994724,1.6115634067087319,1.6098365955433405,1.6195592248734039,2.131186787120292,2.129207968825239,2.143011885697849,157036662000.13635,155308919579.74997,170802879844.33417,75107518214.20372,74089147120.67973,81997303218.4038,117688549626.6251,116521559632.92668,128246221314.03127,13.07512607299347,13.001073892847396,14.01673377897732,6.590424894007824,6.568780546691471,7.033783059622174,9.92541483218011,9.890216164398051,10.626272415516306
2036,119000000000.0,2.2035045090085554,2.8152195184933504,2.8088296005661517,2.858446099982128,1.6822933448708481,1.6789822983500373,1.7038558886575936,2.2523804555297433,2.248470257295582,2.2853373946400275,152353108293.18073,150205246965.5524,169865975677.85815,71681710208.85513,70684230986.22495,80293856220.95729,113283961125.02618,112072534612.525,126601648090.02501,13.244480432219344,13.107139695934736,14.409753381613715,6.571350034337346,6.5350070135929705,7.1108764058746585,9.959238908736964,9.897375154988092,10.816985560647883
2037,110500000000.0,2.319341026598197,2.973758111373285,2.963462117354974,3.0500312387652366,1.7476334563310325,1.7428915064169794,1.7850330576522677,2.3654318278936826,2.3596606653068397,2.4232470425586463,147527783820.2774,145003924407.2847,168968281050.58997,68231425215.99502,67274382847.58958,78591968487.44882,108794648347.66655,107563221310.35367,124962170166.05048,13.38852358642434,13.197885050054511,14.79901872186356,6.541488502917456,6.496472481561283,7.18368349461236,9.974408389533037,9.893374045103725,11.001339494303517
2038,102000000000.0,2.420538629902647,3.124033502932896,3.1094656079817815,3.238515778710916,1.8085580491662538,1.802549505689043,1.8638868156842072,2.471521688046222,2.46398234309929,2.557797433614427,143191401493.42096,140336226663.29453,168628638631.82797,65274858057.57081,64376377963.55473,77313213524.80885,104785652342.2916,103557449844.4565,123788152210.78741,13.508304743157636,13.272996485748365,15.184900867207885,6.501392094096283,6.451939005023855,7.251804588451476,9.971985509862744,9.877671878362035,11.179362897953384
2039,93500000000.0,2.5078312354018006,3.267284994246239,3.2480649187958623,3.4253869757590705,1.8660930407054714,1.858916087929976,1.9414705211171643,2.5718124669949223,2.562541259726335,2.69025814135576,139369314824.0588,136174578874.09213,169027210447.46222,62882843671.53293,62014306152.535225,76640450663.30234,101311663367.98776,100062720866.65245,123261397213.28378,13.62094152644025,13.346682627523904,15.586904044294515,6.465407572311771,6.4136320652786045,7.331215565309281,9.967729418800971,9.863720021704964,11.368563402543364
2040,85000000000.0,2.581824122623541,3.4029764391075754,3.378876030062165,3.61080612126749,1.919756304648139,1.9116058523498385,2.0177293625459223,2.6658422355111417,2.65497906464505,2.8206914618760077,135081489330.42603,131636167096.12486,169451973871.6236,60203151674.850685,59428103982.06039,75956768581.28522,97470622542.23016,96267917789.7882,122726267434.9365,13.712565400253139,13.407288678935956,15.989868748368949,6.42186875376804,6.371300894531628,7.408902510384227,9.949271982015864,9.840538983143633,11.555049295238042
2041,76500000000.0,2.6430208516955362,3.530271976498391,3.501012694454574,3.7949773197890897,1.9691760440943367,1.9620586774882667,2.0926603800884394,2.7530527767848314,2.7410247811118205,2.9492001798604557,130144116750.12653,126422983706.9151,169940279783.83307,57278216982.071556,57674210943.29849,75284330432.43134,93194783542.2873,92216508926.94464,122211405409.17972,13.883191284669607,13.54157545678963,16.39400562895135,6.4130428766452185,6.361227431710471,7.4847343118545995,9.98612115148411,9.869077340859334,11.73884209555522
2042,68000000000.0,2.6918444066071032,3.6542536558834895,3.6195655239318825,3.978047094384699,2.016614538469705,2.0104947525935604,2.166251103418718,2.8371488514047893,2.824002839508057,3.0758500680269414,128029790977.57423,124039565598.55574,170470151231.26645,55646003978.58801,56082954753.39612,74612366670.53322,90985009952.04482,90024953936.73283,121700608394.7476,14.045345870507052,13.671620035089457,16.799603988953532,6.4007969124553465,6.348685125647779,7.558702389330429,10.016436318568847,9.893496421387576,11.920056497815935
2043,59500000000.0,2.7286538069735946,3.7748303996463037,3.734469343525457,4.160149158780119,2.0620060471512676,2.0568654186183175,2.238496888033554,2.918068098018827,2.9038529703554055,3.2007008906767336,125888707481.56586,121646067808.37639,171042296721.81924,54016632793.430885,54494714043.40994,73940877295.59082,88764021604.37048,87825233506.99184,121193894576.43996,14.199285770859795,13.797575154306823,17.206967236048584,6.385276321212347,6.333713858316835,7.630833818809093,10.040492943783427,9.913943688875579,12.098826621712384
