Year,"AAF share, ReFuelEU Aviation as-is","AAF share, ReFuelEU Aviation extended",Air traffic volume [RPK] - high growth,Air traffic volume [RPK] - base growth,Air traffic volume [RPK] - low growth,Air traffic volume [RPK] - degrowth
2024,0.05,0.05,1506647425149.7007,1506647425149.7007,1506647425149.7007,1506647425149.7007
2025,2.0,2.0,1633612095808.383,1582826227544.9104,1523576047904.192,1459632022863.3643
2026,2.8,2.8,1718255209580.8384,1633612095808.3833,1548968982035.9282,1412616620577.0278
2027,3.5999999999999996,3.5999999999999996,1785969700598.8027,1675933652694.611,1557433293413.1738,1365601218290.6917
2028,4.3999999999999995,4.3999999999999995,1862148502994.0122,1718255209580.8386,1574361916167.6648,1318585816004.3552
2029,5.2,5.2,1921398682634.7307,1752112455089.82,1582826227544.9104,1271570413718.0186
2030,6.0,6.0,1989113173652.6948,1785969700598.8027,1582826227544.9102,1224555011431.6821
2031,8.799999999999999,8.799999999999999,2048363353293.4136,1819826946107.785,1591290538922.1558,1177539609145.346
2032,11.6,11.6,2093427347065.8684,1848944177245.509,1602429572694.6106,1130524206859.0093
2033,14.399999999999999,14.399999999999999,2139482748701.3174,1878527284081.4375,1613646579703.4727,1083508804572.673
2034,17.2,17.2,2186551369172.7466,1908583720626.7405,1624942105761.3972,1036493402286.3365
2035,20.0,20.0,2234655499294.547,1939121060156.7688,1636316700501.7266,989478000000.0
2036,22.8,22.8,2283817920279.027,1970146997119.2769,1647770917405.2385,989478000000.0001
2037,25.6,25.6,2334061914525.166,2001669349073.1848,1659305313827.075,989478000000.0
2038,28.400000000000002,28.400000000000002,2385411276644.72,2033696058658.356,1670920451023.8643,989478000000.0001
2039,31.200000000000006,31.200000000000006,2437890324730.904,2066235195596.8896,1682616894181.0308,989477999999.9999
2040,34.0,34.0,2491523911874.984,2099294958726.44,1694395212440.2979,989478000000.0002
2041,35.6,35.6,2546337437936.233,2132883678066.0632,1706255978927.38,989478000000.0
2042,37.2,37.2,2602356861570.8306,2167009816915.1199,1718199770779.8718,989478000000.0
2043,38.800000000000004,38.800000000000004,2659608712525.3887,2201681973985.7617,1730227169175.33,989478000000.0
2044,40.400000000000006,40.400000000000006,2718120104200.9473,2236908885569.5347,1742338759359.5576,989478000000.0
2045,42.0,42.0,2777918746493.3677,2272699427738.647,1754535130675.0742,989477999999.9999
2046,47.599999999999994,47.599999999999994,2839032958916.222,2309062618582.4653,1766816876589.7996,989478000000.0
2047,53.2,53.2,2901491684012.379,2346007620479.7847,1779184594725.928,989478000000.0
2048,58.8,58.8,2965324501060.651,2383543742407.4614,1791638886889.0095,989478000000.0001
2049,64.39999999999999,64.39999999999999,3030561640083.9854,2421680442285.981,1804180359097.2317,989478000000.0
2050,70.0,70.0,3097233996165.834,2460427329362.556,1816809621610.9126,989478000000.0
2051,70.0,73.0,3165373144081.4814,2499794166632.3574,1829527288962.1887,989478000000.0
2052,70.0,76.0,3235011353251.2744,2539790873298.475,1842333979984.9236,989478000000.0
2053,70.0,79.0,3306181603022.8027,2580427527271.251,1855230317844.818,989478000000.0
2054,70.0,82.0,3378917598289.3047,2621714367707.591,1868216930069.7317,989477999999.9998
2055,70.0,85.00000000000001,3453253785451.67,2663661797590.912,1881294448580.2195,989478000000.0
2056,70.0,88.00000000000001,3529225368731.6064,2706280386352.367,1894463509720.281,989477999999.9998
2057,70.0,91.00000000000001,3606868326843.7017,2749580872534.005,1907724754288.3225,989478000000.0
2058,70.0,94.0,3686219430034.262,2793574166494.549,1921078827568.341,989477999999.9999
2059,70.0,97.0,3767316257495.0166,2838271353158.4614,1934526379361.319,989478000000.0
2060,70.0,100.0,3850197215159.907,2883683694808.997,1948068064016.848,989478000000.0
2061,70.0,100.0,3934901553893.426,2929822633925.942,1961704540464.9658,989478000000.0
2062,70.0,100.0,4021469388079.08,2976699796068.756,1975436472248.2207,989478000000.0
2063,70.0,100.0,4109941714616.821,3024326992805.8564,1989264527553.9575,989478000000.0
2064,70.0,100.0,4200360432338.39,3072716224690.7505,2003189379246.8354,989478000000.0
2065,70.0,100.0,4292768361849.836,3121879684285.8022,2017211704901.5627,989477999999.9999
2066,70.0,100.0,4387209265810.532,3171829759234.375,2031332186835.8735,989478000000.0001
2067,70.0,100.0,4483727869658.363,3222579035382.125,2045551512143.7246,989478000000.0002
2068,70.0,100.0,4582369882790.849,3274140299948.2393,2059870372728.731,989478000000.0
2069,70.0,100.0,4683182020212.246,3326526544747.4116,2074289465337.8313,989477999999.9999
2070,70.0,100.0,4786212024656.916,3379750969463.3696,2088809491595.1956,989478000000.0
