Year,"Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2042,62.87107386661826,61.27062384355852,83.58608307491447,62.2062134508353,60.79483702843816,83.58565704368107,62.45401617782469,60.67986261664975,83.58565372793691,53.892061679524076,52.253041153869496,71.56083914530218,56.15078024179721,56.8212859715307,75.3152416960578,55.66001687059182,55.04507340951584,74.40406789941646,0.8529456727782628,0.8483120366472463,0.8529456727782628,0.8963966424586292,0.9279950218041348,0.8963966424586292,0.8870136535502468,0.9026514267982526,0.8870136535502468
2043,61.593206600382786,59.917215151933604,83.55525666417358,60.89986349671935,59.27777849646695,83.55482443141409,61.157771353627325,59.280919839771414,83.55482121288338,52.09636831103149,50.3881833060672,70.57865618087031,54.447055989441424,55.1570362220001,74.55726753086894,53.97968844232139,53.37943839071688,73.65281985141938,0.8415556751831136,0.8364224380659672,0.8415556751831136,0.8876736357832306,0.9236951978769989,0.8876736357832306,0.8783804801402297,0.8959000963590931,0.8783804801402298
2044,60.33707457596141,58.59367192024103,83.58288673640487,59.68303697528287,57.76149307155069,83.60955297943627,59.90440412800932,57.87531688281371,83.60458986766737,50.372442027082826,48.60508952845222,69.67976453834423,52.84480901329944,53.50654343266865,73.87503530750871,52.365894493220544,51.731959198185564,72.98177244664167,0.8305720780156661,0.8249571200080846,0.8305720780156661,0.878950629107832,0.919395373949863,0.8789506291078321,0.8698614508714222,0.8892380053106458,0.8698614508714222
2045,60.6726312819363,58.88170146253335,83.49634440375499,62.27431370807466,56.545255926620335,83.4917280180266,60.90335237402997,58.200702287165974,83.4917441627499,50.00464539363836,48.187671445869576,68.71969444872222,54.57770744980037,52.14366300984515,73.04168745891373,52.7203733255719,51.63610102861689,72.17926531890339,0.8199826625577815,0.8139033254750588,0.8199826625577815,0.8702276224324339,0.9150955500227275,0.8702276224324338,0.8614553959989649,0.8826642392180684,0.8614553959989649
2046,59.92504894307569,58.07634756555455,83.45993237070323,59.77523885051838,52.23252904422969,83.45684876663684,59.648138455417644,57.36161393377043,83.45712743115534,48.7763162029015,46.90960610622125,67.83428932341792,51.88043650640865,47.97138684449405,72.28225275770228,51.14210144558185,50.52109149025324,71.4550060158135,0.8097755478212523,0.8032486500873819,0.8097755478212523,0.8615046157570353,0.9107957260955918,0.8615046157570353,0.8531611565250122,0.8761778920474631,0.8531611565250125
2047,55.10444983430177,52.50712358235571,83.42331938120766,55.7786386044689,51.63636713259626,83.42196951524707,55.35772733616219,52.89762516131478,83.42196930314863,43.87521815903764,41.454565309979756,66.17478538351224,48.021094980435166,47.0783550779342,71.76232199985846,46.98002241757196,46.245123105035255,70.64578969588015,0.787445529474218,0.779956362018329,0.787445529474218,0.8588410382254824,0.909400131921457,0.8588410382254824,0.8432712098957663,0.8683894098515228,0.8432712098957663
2048,51.21632121202543,48.701273760100655,83.38906837658672,51.41200651819574,48.505439020475876,83.38709026385729,51.079786151522384,48.47895858723017,83.38709005957283,39.83928240158225,37.51596712631506,64.61621199797695,44.13358243908347,44.16305309545668,71.50992844591973,42.850373418542155,42.02447848056549,69.74932496239336,0.7701216644529133,0.761886812228814,0.7701216644529133,0.8561774606939293,0.9080045377473224,0.8561774606939293,0.8325966047927768,0.8599848183497826,0.8325966047927765
2049,47.07116983154865,44.54865168753489,83.35377823093637,46.98266740879823,44.12655692264413,83.35221101246752,46.86457208051933,44.33312057797879,83.352210815997,35.902350865584246,33.615203113971994,63.29928108100914,40.215810309150484,40.12508387843127,71.25772069916164,38.87891510839852,38.09922908086366,68.94070481483985,0.7550981427202801,0.7462170350897795,0.7550981427202801,0.8535138831623764,0.9066089435731878,0.8535138831623766,0.823889699313747,0.8531261763277748,0.823889699313747
2050,41.65131095388419,38.62526792221018,83.31788469920654,42.3600544724982,39.37559970716001,83.31733176107775,41.76703361509472,38.75409041331272,83.31733157242118,30.633298284303656,28.065749403267393,60.91717391791417,36.07689322063531,35.753568917494455,70.84987927697922,33.95502481784034,32.751359041426866,67.45033029976022,0.7268146360848851,0.7166714487064648,0.7268146360848851,0.8490062904166715,0.9049592829745255,0.8490062904166716,0.8061387554024442,0.8372729448021038,0.8061387554024442
2051,38.63999033361943,35.61245101874946,83.27953336068947,40.06899414729842,36.91134334733897,83.2789980762502,39.03647874951601,35.92130006982581,83.27899789438744,27.458579774371383,24.953657654951652,58.80390010937606,33.95090732670035,33.46236344175706,70.4416993710575,31.106070584904177,29.840270995585293,66.06799569930571,0.7021873032167115,0.6909446274698687,0.7021873032167116,0.8444986976709666,0.9033096223758633,0.8444986976709666,0.7902335985868983,0.8230572128346699,0.7902335985868986
