Year,Target CO2 emissions [kg],Target CO2 RF [mW m-2],"CO2 RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2043,59500000000.0,2.7286538069735946,3.9449390613985207,3.9019361101725307,4.358818604111111,2.1847318878365427,2.182141720802034,2.3625706817776964,3.0455068287335427,3.030270812294482,3.341259506698325,138555955050.95093,134012851329.14267,187711608896.97656,53874164066.320526,54576673886.872215,73772775961.90913,93397123526.52402,92358554578.939,127436109993.30193,15.32651125469997,14.897578567932829,18.607577502485483,6.520614621823975,6.46688679338558,7.767795764009285,10.535011247353939,10.400743653271078,12.698700759517388
2044,51000000000.0,2.753757163494577,4.07820583439245,4.02887274458508,4.562622466598738,2.226411808447499,2.224930678494235,2.4316924269897444,3.1279853233830908,3.1114508276894903,3.471539007431427,136918347371.51054,132114471013.77292,189397968847.66168,52288775932.8615,52943547582.67011,73097722186.00311,91239127644.07138,90134597608.6059,127158970860.5432,15.536483394217889,15.081138305286792,19.117972254559938,6.498867860987033,6.444497736949309,7.834867755263843,10.56194446538003,10.425899609159682,12.894253936292419
2045,42500000000.0,2.767421942319735,4.214688127724056,4.158803561163331,4.766518832358385,2.271742833255425,2.2661131915573143,2.4993384640057457,3.213127212155079,3.1939615078968515,3.5999777280850287,138908841850.74124,133861435859.34425,190897727462.40164,54003440812.013565,51595007387.655556,72273142823.47104,92499747102.02098,90597353265.79565,126641056708.333,15.746012015776348,15.268225207266624,19.634109116191087,6.480440397101906,6.419996769233554,7.900099304342907,10.589267760738268,10.452087421698172,13.087567670012824
2046,34000000000.0,2.7698830387743794,4.349898346446509,4.287222147701216,4.970858153389512,2.31290278188587,2.3009204060830064,2.5656370581691097,3.294799958350918,3.2744705513736703,3.7268424745934103,138477569314.5567,133177917825.33978,192583783133.8423,51334550553.48822,47466631912.11628,71521698894.18573,90358727938.3216,89261517068.71675,126247910545.56494,15.528471164222468,15.09230888417806,20.156593230595956,6.30997007406288,6.282653081373067,7.963658036084117,10.348025907332806,10.249637985636191,13.278997679141956
2047,25500000000.0,2.7613491316133967,4.465575728741729,4.393370534183311,5.171812759315065,2.3480940208613084,2.3351084511539426,2.630990451068195,3.3652211743688163,3.343371521778566,3.8518939323565045,127303580622.67662,120280076511.25432,192005589481.5647,47515817019.051025,46582996625.80417,71007238847.77596,83586132145.22278,82278610609.68282,125691900709.15767,15.255515541564916,14.83703828383586,20.671588869025687,6.13369846797213,6.145801871883192,8.027628788973773,10.086901251305116,10.020133201289822,13.46751711296229
2048,17000000000.0,2.742007687528155,4.56622465819844,4.485057375427317,5.369939955939241,2.3775183873770938,2.3651550697943367,2.695827318145622,3.424873238135953,3.4012357655353433,3.9748954910524605,118136400210.08626,111247016500.648,191608036603.33023,43669208884.65944,43698369450.786285,70757500978.81177,76772395334.37526,75292689847.01149,124965602936.88223,14.951052426793074,14.565753769535412,21.19133029362515,5.953326150459426,5.990741484116264,8.091187552896944,9.811601414642952,9.76991873452869,13.653157883338475
2049,8500000000.0,2.7120289060310467,4.652255232392229,4.562323938236469,5.566482070217671,2.401335297247293,2.389288939554091,2.760107892960594,3.474530814020486,3.449269324654852,4.096153420769107,108804287322.07568,101872945080.83525,191832373089.00024,39792659553.0776,39702887745.86241,70507946961.96506,70144575021.58124,68737880804.4403,124381465569.25401,14.622395146531225,14.272336843054845,21.71685126379958,5.771346554222102,5.820832598873687,8.154170550318037,9.528884617647837,9.505860877252788,13.837621985533382
2050,0.0,2.6715688323826168,4.716466655970598,4.616271952626587,5.75579545627817,2.4193533434429333,2.4071642152455794,2.8235423621886095,3.5114583367703966,3.48327685107023,4.213586101527505,94878492860.8338,86926193179.67073,188674742008.9104,35697292150.167786,35377369865.34458,70104396847.22685,61689815791.08965,59502984227.2979,122544409069.43845,14.25494706778829,13.913450458187548,22.22940143748032,5.58906086257645,5.644061540246528,8.215739022247675,9.234316878342334,9.218897804388133,14.013497384419827
2051,0.0,2.6351849275245343,4.76994650729443,4.659833021604132,5.939364356909119,2.4351251730534984,2.4224854467226304,2.8861265524089723,3.5423830496041666,3.5111688967752706,4.327646355506565,86916650992.41412,78987637787.58725,186136286173.46906,33593675879.808807,33110272453.6229,69700511810.27522,56909404987.466225,54593590096.4502,120873201058.9163,14.151108612762155,13.807005786486316,22.742492093135834,5.49748084434429,5.554976465078089,8.276298970088707,9.100465657932602,9.089139953319748,14.185787134291875
2052,0.0,2.6021174465775827,4.814150621993345,4.693805250223336,6.117239806514849,2.447439391967259,2.434267176040138,2.9478613139389784,3.568051791330637,3.5338993614774608,4.438886903503,79707705174.66953,71443480608.8512,183455657367.36264,30811238192.386406,30283364327.088455,69296968722.35457,52552839022.716736,50232660249.02176,119453243519.02531,14.032020449601326,13.692894601923353,23.254458399105324,5.404309800434802,5.462604515795254,8.33589617665008,8.962904266760974,8.95587563971603,14.35565480921423
